equip_id,serial_number,product_name,manufacturer,label,category,purchase_date,comments,status,condition
26,CAM005,Sony Cyber-shot RX100 VII,Sony,CAM05,Camera,2020-12-05,High-quality compact camera,Available,Good
27,COM004,HP Pavilion Gaming Laptop,HP,COM04,Computer,2021-05-20,Gaming laptop for VR development,Available,Good
28,FPGA004,Lattice ECP5-45,Lattice,FPGA04,FPGA Board,2021-07-01,Low-power FPGA for IoT applications,Available,Broken
29,VR005,Sony PlayStation VR,Sony,VR05,VR/AR Device,2021-02-28,Includes PS Move controllers,Available,Good
30,MIS005,GoPro HERO9 Black,GoPro,MIS05,Miscellaneous,2021-06-15,Action camera for recording experiments,Unavailable,Good
31,MD008,OnePlus 8T,OnePlus,MD08,Mobile Devices,2021-08-08,Lightweight and powerful,Unavailable,Broken
32,CAM006,Panasonic Lumix GH5,Panasonic,CAM06,Camera,2019-11-15,Professional-grade mirrorless camera,Available,Good
33,COM005,Microsoft Surface Pro 7,Microsoft,COM05,Computer,2020-04-22,Versatile 2-in-1 laptop-tablet,Unavailable,Good
34,FPGA005,Xilinx Kintex-7,Xilinx,FPGA05,FPGA Board,2020-09-10,Reliable FPGA for research and development,Available,Broken
35,VR006,Samsung Odyssey+,Samsung,VR06,VR/AR Device,2019-10-01,High-resolution VR headset,Available,Broken
36,MIS006,Philips Hue Starter Kit,Philips,MIS06,Miscellaneous,2020-07-05,Smart lighting for lab experiments,Available,Good
37,MD009,Google Pixel 4a,Google,MD09,Mobile Devices,2021-03-18,Compact and reliable,Unavailable,Good
38,CAM007,Nikon Z6,Nikon,CAM07,Camera,2019-12-15,Mirrorless camera for photography,Unavailable,Issues
39,COM006,MacBook Air (M1),Apple,COM06,Computer,2020-11-28,Lightweight and powerful,Available,Issues
40,FPGA006,Intel Cyclone V,Intel,FPGA06,FPGA Board,2021-01-10,FPGA for low-power applications,Unavailable,Good
41,VR007,Oculus Quest,Oculus,VR07,VR/AR Device,2020-08-05,Wireless VR headset with hand tracking,Available,Good
42,MIS007,Amazon Echo Dot (3rd Gen),Amazon,MIS07,Miscellaneous,2020-03-10,Voice assistant for experiments,Unavailable,Good
43,MD010,Samsung Galaxy Note 20,Samsung,MD10,Mobile Devices,2021-09-30,Large display for VR applications,Unavailable,Good
44,CAM008,Canon EOS Rebel T7i,Canon,CAM08,Camera,2019-08-10,Entry-level DSLR for photography,Unavailable,Good
45,COM007,Lenovo ThinkCentre M720,Lenovo,COM07,Computer,2021-04-25,Compact desktop PC for lab use,Unavailable,Good
46,FPGA007,Altera DE2-115,Intel (Altera),FPGA07,FPGA Board,2020-12-15,Educational FPGA development board,Available,Good
47,VR008,HP Reverb G2,HP,VR08,VR/AR Device,2021-02-28,High-resolution VR headset with controllers,Unavailable,Issues
48,MIS008,GoPro HERO7 Black,GoPro,MIS08,Miscellaneous,2020-11-05,Action camera for outdoor experiments,Unavailable,Good
49,MD011,iPhone 13 Pro,Apple,MD11,Mobile Devices,2021-09-14,Latest iPhone model,Unavailable,Broken
50,CAM009,Sony A6400,Sony,CAM09,Camera,2021-07-02,Compact mirrorless camera,Unavailable,Good
51,COM008,Dell Precision 5550,Dell,COM08,Computer,2020-07-20,Workstation for VR development,Unavailable,Issues
52,FPGA008,Xilinx Zynq-7000,Xilinx,FPGA08,FPGA Board,2021-05-12,Embedded system development,Unavailable,Issues
53,VR009,Oculus Quest 2,Oculus,VR09,VR/AR Device,2021-11-22,Wireless VR headset with improved performance,Unavailable,Broken
54,MIS009,DJI Mavic Air 2,DJI,MIS09,Miscellaneous,2021-08-10,Aerial drone for research,Unavailable,Issues
55,MD012,OnePlus 9,OnePlus,MD12,Mobile Devices,2021-04-15,Powerful Android smartphone,Unavailable,Good
